"Fecha","Índice"
"2003/08/31",142.4400492
"2003/09/30",141.6582205
"2003/10/31",144.0480469
"2003/11/30",141.3282205
"2003/12/31",139.5930288
"2004/01/31",137.6211881
"2004/02/29",135.4368637
"2004/03/31",133.3023451
"2004/04/30",132.4538704
"2004/05/31",136.7347256
"2004/06/30",136.4751708
"2004/07/31",134.009418
"2004/08/31",131.6571807
"2004/09/30",128.6828765
"2004/10/31",131.5443589
"2004/11/30",129.9005962
"2004/12/31",123.3842177
"2005/01/31",120.8828107
"2005/02/28",119.2891486
"2005/03/31",120.2513875
"2005/04/30",121.2020678
"2005/05/31",120.02394
"2005/06/30",119.5195402
"2005/07/31",120.7562265
"2005/08/31",120.8906459
"2005/09/30",124.284328
"2005/10/31",126.6686432
"2005/11/30",124.3272493
"2005/12/31",123.9676236
"2006/01/31",123.7597551
"2006/02/28",120.7420538
"2006/03/31",120.2326593
"2006/04/30",123.5207686
"2006/05/31",128.1778876
"2006/06/30",133.8842279
"2006/07/31",132.3331348
"2006/08/31",126.7307302
"2006/09/30",125.0363919
"2006/10/31",121.0996646
"2006/11/30",119.3451673
"2006/12/31",118.413167
"2007/01/31",115.7839909
"2007/02/28",117.1075361
"2007/03/31",117.1345315
"2007/04/30",115.7108502
"2007/05/31",110.544827
"2007/06/30",107.0840548
"2007/07/31",109.9356214
"2007/08/31",113.9449251
"2007/09/30",116.8168155
"2007/10/31",111.1796755
"2007/11/30",115.5795141
"2007/12/31",112.3258242
"2008/01/31",110.6555316
"2008/02/29",105.4861512
"2008/03/31",105.5225215
"2008/04/30",104.0155916
"2008/05/31",105.3622871
"2008/06/30",101.8441166
"2008/07/31",107.5919091
"2008/08/31",108.1202002
"2008/09/30",117.8444439
"2008/10/31",121.2356439
"2008/11/30",117.0266933
"2008/12/31",110.2918996
"2009/01/31",112.1358423
"2009/02/28",121.5431446
"2009/03/31",118.5617073
"2009/04/30",114.5435241
"2009/05/31",109.0289466
"2009/06/30",105.0686303
"2009/07/31",102.5509766
"2009/08/31",103.0425303
"2009/09/30",101.4181638
"2009/10/31",98.85524928
"2009/11/30",103.5058493
"2009/12/31",105.218618
"2010/01/31",104.1097995
"2010/02/28",101.3979181
"2010/03/31",99.8088399
"2010/04/30",101.5707909
"2010/05/31",103.5886994
"2010/06/30",99.91656572
"2010/07/31",98.15829228
"2010/08/31",96.18599737
"2010/09/30",96.00414868
"2010/10/31",97.37541861
"2010/11/30",99.77266463
"2010/12/31",102.5184131
"2011/01/31",99.75928967
