"Fecha","Índice"
"2003/08/31",133.0298013
"2003/09/30",132.8218358
"2003/10/31",136.3597895
"2003/11/30",134.4791157
"2003/12/31",133.995938
"2004/01/31",133.2170893
"2004/02/29",130.3670847
"2004/03/31",127.2510315
"2004/04/30",125.4954821
"2004/05/31",128.6321992
"2004/06/30",128.6413747
"2004/07/31",126.924015
"2004/08/31",124.892007
"2004/09/30",122.4220677
"2004/10/31",125.5795638
"2004/11/30",124.3906618
"2004/12/31",119.446119
"2005/01/31",117.1613118
"2005/02/28",115.9159269
"2005/03/31",116.0117694
"2005/04/30",116.0220733
"2005/05/31",115.1490248
"2005/06/30",114.6357207
"2005/07/31",115.4438071
"2005/08/31",116.3407596
"2005/09/30",117.8740383
"2005/10/31",118.0244062
"2005/11/30",116.056622
"2005/12/31",116.2745369
"2006/01/31",117.4169213
"2006/02/28",115.7819201
"2006/03/31",115.2866751
"2006/04/30",118.6806489
"2006/05/31",123.8847834
"2006/06/30",128.9686994
"2006/07/31",128.4640465
"2006/08/31",122.8049799
"2006/09/30",121.4950157
"2006/10/31",118.690094
"2006/11/30",116.3896373
"2006/12/31",116.0809392
"2007/01/31",114.1303744
"2007/02/28",115.0412352
"2007/03/31",114.6183637
"2007/04/30",113.6416191
"2007/05/31",108.3549221
"2007/06/30",105.0643647
"2007/07/31",108.4273363
"2007/08/31",113.2884847
"2007/09/30",116.9020368
"2007/10/31",112.4845534
"2007/11/30",116.9699841
"2007/12/31",114.3554049
"2008/01/31",113.7015514
"2008/02/29",108.8566839
"2008/03/31",106.2646051
"2008/04/30",105.6602902
"2008/05/31",106.1784498
"2008/06/30",102.3695524
"2008/07/31",108.0249635
"2008/08/31",108.9949008
"2008/09/30",116.8616244
"2008/10/31",118.5656692
"2008/11/30",115.6559585
"2008/12/31",111.1631363
"2009/01/31",111.5961117
"2009/02/28",119.8399159
"2009/03/31",117.7262242
"2009/04/30",114.9222031
"2009/05/31",110.3864183
"2009/06/30",106.721359
"2009/07/31",104.7932274
"2009/08/31",105.8589888
"2009/09/30",105.904941
"2009/10/31",103.2714327
"2009/11/30",107.5305728
"2009/12/31",107.974143
"2010/01/31",105.2733755
"2010/02/28",101.1724235
"2010/03/31",99.32512731
"2010/04/30",101.404586
"2010/05/31",101.5101424
"2010/06/30",98.20180036
"2010/07/31",97.48350957
"2010/08/31",95.7311348
"2010/09/30",96.40024018
"2010/10/31",98.97338203
"2010/11/30",101.2478689
"2010/12/31",103.7306033
"2011/01/31",102.0871444
"2011/02/28",103.098519
"2011/03/31",104.0115177
"2011/04/30",102.0597782
"2011/05/31",100.8072285
"2011/06/30",99.86027728
"2011/07/31",99.96516656
"2011/08/31",100.5657162
"2011/09/30",101.2433084
"2011/10/31",103.1049461
"2011/11/30",103.2831687
"2011/12/31",102.9606407
"2012/01/31",100.8082845
"2012/02/29",98.51579003
"2012/03/31",98.00978573
"2012/04/30",97.91231322
"2012/05/31",97.19994431
"2012/06/30",96.98387221
"2012/07/31",97.19919796
"2012/08/31",98.88932593
"2012/09/30",99.44050881
"2012/10/31",99.50644753
"2012/11/30",100.1354036
"2012/12/31",100.1255027
"2013/01/31",100.8672308
"2013/02/28",101.5095414
"2013/03/31",100.9070133
"2013/04/30",102.0626137
"2013/05/31",102.6220954
"2013/06/30",105.0288968
"2013/07/31",104.5646487
"2013/08/31",104.6563827
"2013/09/30",105.8980941
"2013/10/31",104.7529428
"2013/11/30",105.5285356
"2013/12/31",106.9740872
"2014/01/31",109.2193234
"2014/02/28",112.3873234
"2014/03/31",109.4897826
"2014/04/30",104.778194
"2014/05/31",103.6014385
"2014/06/30",102.1280597
"2014/07/31",100.8094259
"2014/08/31",101.4479246
"2014/09/30",103.7536901
"2014/10/31",105.3731674
"2014/11/30",107.8855441
"2014/12/31",115.0183091
"2015/01/31",115.710988
"2015/02/28",113.64915
"2015/03/31",116.7746346
"2015/04/30",113.6125476
"2015/05/31",113.1287291
"2015/06/30",117.4755152
"2015/07/31",123.0797178
"2015/08/31",130.9073817
"2015/09/30",130.4528593
"2015/10/31",124.4411809
"2015/11/30",124.0162996
"2015/12/31",130.8678023
"2016/01/31",131.3858343
"2016/02/29",133.1092096
"2016/03/31",126.6898093
"2016/04/30",122.145053
"2016/05/31",120.73969
"2016/06/30",120.2997825
"2016/07/31",119.4001805
"2016/08/31",121.0558749
"2016/09/30",119.5986287
"2016/10/31",119.5476184
"2016/11/30",123.8852939
"2016/12/31",121.2183775
"2017/01/31",121.5023231
"2017/02/28",120.2850511
"2017/03/31",122.340288
"2017/04/30",120.5706978
"2017/05/31",122.3238211
"2017/06/30",123.317154
"2017/07/31",126.9609641
"2017/08/31",125.1842073
"2017/09/30",124.2969401
"2017/10/31",124.6487581
"2017/11/30",126.5412531
"2017/12/31",126.6443128
"2018/01/31",125.9636437
"2018/02/28",123.4207856
"2018/03/31",122.3834985
"2018/04/30",119.0103863
"2018/05/31",120.9734976
"2018/06/30",121.5309308
"2018/07/31",121.1970324
"2018/08/31",120.7973885
"2018/09/30",122.5609083
"2018/10/31",123.9419075
"2018/11/30",127.3869988
"2018/12/31",126.8242237
"2019/01/31",127.5890926
"2019/02/28",125.4673007
"2019/03/31",125.6133824
"2019/04/30",126.0265111
"2019/05/31",129.4053438
"2019/06/30",127.3126059
"2019/07/31",124.8982434
"2019/08/31",128.7532885
"2019/09/30",127.0196389
"2019/10/31",128.3566402
"2019/11/30",127.8012755
"2019/12/31",127.6077627
"2020/01/31",128.4485077
"2020/02/29",129.6228628
"2020/03/31",141.1644134
"2020/04/30",140.5278627
"2020/05/31",136.3069396
"2020/06/30",132.8811196
"2020/07/31",133.3870566
"2020/08/31",138.6435799
"2020/09/30",138.5201722
"2020/10/31",140.8722868
"2020/11/30",137.3004548
"2020/12/31",132.2504161
"2021/01/31",134.7700112
