Año(aaaa)-Mes(mm),Id Periodicidad,Tipo,Descripcion Nivel_1_español,Descripcion Nivel_2_español,Codigo Nivel_ 1,Codigo Nivel_ 2,Descripcion Nivel_3_español,Codigo Nivel_ 3,Valor,Version,Descripcion español
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector público,2,"11392,74051877",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Total,3,"66195,92097781",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cédulas,7,5,,,0,Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Depósitos fiduciarios,7,4,,,"8094,28439794",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Otros depósitos a la vista,7,3,,,"9150,4261349",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Total Depósitos en poder del público  <sup>1/</sup>,7,8,,,"524535,64580717",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con entidades no financieras,2,0,Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con la DGCPTN,1,0,Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Total,3,0,Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Depósitos Restringidos,,11,,,,0,Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,M1,,8,,,,"161069,3814107",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,M2<sup>1/</sup>,,9,,,,"570270,4405803",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,M3<sup>1/</sup>,,10,,,,"619409,10624006",Última,miles de millones de pesos colombianos
2020-12-31,3,MONETARIO,Total Depósitos <sup>2/</sup>,,13,,,,"529565,53970717",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Base monetaria,Efectivo,6,1,,,"87370,6774979",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Base monetaria,Reserva Bancaria,6,2,,,"30236,2915751",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Base monetaria,Total,6,3,,,"117606,969073",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Bonos en poder del Banco de la República,,13,,,,"238,603",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,CDT en poder el Banco de la República,,12,,,,"5188,3779",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Bonos <sup>1/</sup>,7,6,,,"32286,89979961",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,CDT <sup>1/</sup>,2,"163166,37921037",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,Cuentas de ahorro,1,"243587,61125824",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,TOTAL<sup>1/</sup>,3,"406753,99046861",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector privado,1,"50117,94325155",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector público,2,"11859,09133318",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Total,3,"61977,03458575",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cédulas,7,5,,,0,Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Depósitos fiduciarios,7,4,,,"10315,92996711",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Otros depósitos a la vista,7,3,,,"6835,80575273",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Total Depósitos en poder del público  <sup>1/</sup>,7,8,,,"518169,66057381",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con entidades no financieras,2,0,Última,miles de millones de pesos colombianos
