Clasificación de la Entidad,Código de Clasificación de la Entidad,Cuenta,Clase de Cuenta,Código de Cuenta,Tipo de Cuenta,Año semana,Tasa,Formato Id,Monto,Orden,Total
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200305,"27,5893105300298",500,"86787,91914",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200306,"27,1770046093853",500,"74647,19355",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200307,"27,4847326874919",500,"82080,93438",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200308,"27,4317831356761",500,"88928,92303",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200309,"27,8571877448645",500,"115536,40574",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200310,"27,1482942587652",500,"79976,46903",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200311,"27,2299965200982",500,"93418,89923",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200312,"27,1865764905925",500,"101667,7074",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200313,"27,186502678137",500,"90424,46998",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200314,"26,8523616919752",500,"91296,84957",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200315,"27,1704559675243",500,"105886,38882",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200316,"27,5118811709453",500,"69447,5284",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200317,"27,3392038045426",500,"103733,50739",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200318,"27,0337567200732",500,"106782,6363",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200319,"27,260865784574",500,"95241,00511",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200320,"27,2606045404657",500,"101693,94458",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200321,"27,3842320655541",500,"104632,51838",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200322,"27,1711473968261",500,"129389,38772",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200323,"26,8631277027416",500,"73788,49807",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200324,"26,746496147334",500,"102187,9571",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200325,"26,8172638747114",500,"113219,44137",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200326,"26,5537809704599",500,"117872,15217",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200327,"26,6739676229291",500,"67666,2573",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200328,"26,8176550783024",500,"99876,07584",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200329,"26,9517505990383",500,"104579,46701",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200330,"26,8035343650398",500,"108179,90136",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200331,"26,7888515843958",500,"118670,62135",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200332,"27,1338598036448",500,"80016,02116",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200333,"27,1914289918356",500,"106065,35247",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200334,"27,3910141482778",500,"89076,73817",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200335,"27,0409111240256",500,"130939,11639",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200336,"26,9739573362545",500,"87620,27958",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200337,"27,3765919006969",500,"100115,17482",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200338,"27,4045430491337",500,"108631,40274",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200339,"27,197297553631",500,"110086,776",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200340,"27,332070745007",500,"116932,91683",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200341,"27,2989080457176",500,"102360,22182",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200342,"27,6340886167408",500,"97972,20183",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200343,"27,4592238359035",500,"122408,14646",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200344,"27,1001902846391",500,"137672,03876",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200345,"27,0166092792816",500,"76607,34771",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200346,"27,1631368984363",500,"117663,72026",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200347,"27,4012735064625",500,"107632,00529",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200348,"27,1679664044187",500,"164944,29298",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200349,"27,0194096499372",500,"97446,2461",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200350,"26,8799979906473",500,"92294,85965",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200351,"27,0271422719734",500,"129952,47744",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200352,"26,4402288304789",500,"93697,03131",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200353,"27,2419557191928",500,"85132,6442",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200401,"26,9477473527116",500,"68075,35703",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200402,"27,2077019012318",500,"67847,86973",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200403,"27,2132661324778",500,"91649,19931",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200404,"26,8654402656173",500,"117797,53354",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200405,"26,9113229081565",500,"87877,04015",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200406,"27,0060454482355",500,"106051,17237",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200407,"27,4415885541044",500,"124377,78418",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200408,"26,5344583445293",500,"120930,25756",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200409,"26,8628493672811",500,"100915,81802",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200410,"26,8644382638497",500,"119464,90217",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200411,"26,9676054962456",500,"137948,32973",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200412,"26,8611795879467",500,"111964,86243",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200413,"26,7176833526743",500,"149363,67292",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200414,"26,7203046152998",500,"79674,5649",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200415,"26,9163806922973",500,"123131,12296",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200416,"26,8370195616487",500,"139906,96293",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200417,"26,3990127589967",500,"183894,54886",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200418,"26,5779373567217",500,"102178,11574",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200419,"26,6647440426049",500,"125567,8664",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200420,"26,4428581127464",500,"136963,53194",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200421,"26,0268401380555",500,"105470,32369",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200422,"26,2501679495157",500,"136797,28318",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200423,"26,2620482038676",500,"131196,05949",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200424,"26,3727592319873",500,"116365,79757",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200425,"26,2981593490023",500,"121143,3392",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200426,"25,9438877633046",500,"153459,34242",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200427,"25,8853048549453",500,"100283,31507",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200428,"26,1744927556989",500,"136834,11902",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200429,"26,2418619712328",500,"110076,87421",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200430,"26,1744060834641",500,"171148,36492",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200431,"25,7922282661551",500,"116175,14855",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200432,"25,6284546004553",500,"142890,31897",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200433,"25,9227718187536",500,"118970,18146",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200434,"25,7873772328332",500,"151184,98667",999950,"12,8621447900894"
